[30.03.2023 12:16:54] [INFO] received Windows console close event; shutting log-core down
[30.03.2023 12:27:08] [INFO] received Windows console close event; shutting log-core down
[30.03.2023 12:33:37] [INFO] received Windows console close event; shutting log-core down
[30.03.2023 12:40:25] [INFO] received Windows console close event; shutting log-core down
[30.03.2023 12:47:12] [INFO] received Windows console close event; shutting log-core down
[30.03.2023 13:43:16] [INFO] received Windows console close event; shutting log-core down
[30.03.2023 14:27:32] [INFO] received Windows console close event; shutting log-core down
[30.03.2023 14:32:07] [INFO] received Windows console close event; shutting log-core down
[30.03.2023 14:34:52] [INFO] received Windows console close event; shutting log-core down
[30.03.2023 14:35:47] [INFO] received Windows console close event; shutting log-core down
[30.03.2023 14:36:46] [INFO] received Windows console close event; shutting log-core down
[30.03.2023 14:43:20] [INFO] received Windows console close event; shutting log-core down
[30.03.2023 15:07:27] [INFO] received Windows console close event; shutting log-core down
[30.03.2023 16:03:56] [INFO] received Windows console close event; shutting log-core down
[30.03.2023 16:09:55] [INFO] received Windows console close event; shutting log-core down
[30.03.2023 16:12:55] [INFO] received Windows console close event; shutting log-core down
[30.03.2023 16:31:16] [INFO] received Windows console close event; shutting log-core down
[30.03.2023 16:34:49] [INFO] received Windows console close event; shutting log-core down
[30.03.2023 16:36:15] [INFO] received Windows console close event; shutting log-core down
[30.03.2023 16:39:06] [INFO] received Windows console close event; shutting log-core down
